NatDex;Pokemon;HP;Atk;Def;SpA;SpD;Spe;Total;Type I;Type II;Ability I;Ability II;Hidden Ability;EV Worth;Gender;Egg Group I;Egg Group II;Catch;Evolve;
128;Tauros;75;100;95;40;70;110;490.0;Normal;N/A;Intimidate;Anger Point;Sheer Force;1 Atk/1 Spe;M (100%);Field;N/A;45;N;
128;Tauros-Aqua;75;110;105;30;70;100;490.0;Fighting;Water;Intimidate;Anger Point;Cud Chew;1 Atk, 1 Spd;M (100%);N/A;N/A;N/A;N/A;
128;Tauros-Blaze;75;110;105;30;70;100;490.0;Fighting;Fire;Intimidate;Anger Point;Cud Chew;1 Atk, 1 Spd;M (100%);N/A;N/A;N/A;N/A;
128;Tauros-Combat;75;110;105;30;70;100;490.0;Fighting;N/A;Intimidate;Anger Point;Cud Chew;1 Atk, 1 Spd;M (100%);N/A;N/A;N/A;N/A;
129;Magikarp;20;10;55;15;20;80;200.0;Water;N/A;Swift Swim;N/A;Rattled;1 Spe;Neutral;Water 2;Dragon;255;N/A;
130;Gyarados;95;125;79;60;100;81;540.0;Water;Flying;Intimidate;N/A;Moxie;2 Atk;Neutral;Water 2;Dragon;45;Lv. 20;
130;Mega Gyarados;95;155;109;70;130;81;640.0;Water;Dark;Mold Breaker;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
131;Lapras;130;85;80;85;95;60;535.0;Water;Ice;Water Absorb;Shell Armor;Hydration;2 HP;Neutral;Monster;Water 1;45;N;
132;Ditto;48;48;48;48;48;48;288.0;Normal;N/A;Limber;N/A;Imposter;1 HP;N/A;Ditto;N/A;35;N;
133;Eevee;55;55;50;45;65;55;325.0;Normal;N/A;Run Away;Adaptability;Anticipation;1 SpD;M (87.5%);Field;N/A;45;N/A;
133;Partner Eevee;65;75;70;65;85;75;435.0;Normal;N/A;N/A;N/A;N/A;1 SpD;M (87.5%);N/A;N/A;N/A;N;
134;Vaporeon;130;65;60;110;95;65;525.0;Water;N/A;Water Absorb;N/A;Hydration;2 HP;M (87.5%);Field;N/A;45;Water Stone;
135;Jolteon;65;65;60;110;95;130;525.0;Electric;N/A;Volt Absorb;N/A;Quick Feet;2 Spe;M (87.5%);Field;N/A;45;Thunderstone;
136;Flareon;65;130;60;95;110;65;525.0;Fire;N/A;Flash Fire;N/A;Guts;2 Atk;M (87.5%);Field;N/A;45;Fire Stone;
137;Porygon;65;60;70;85;75;40;395.0;Normal;N/A;Trace;Download;Analytic;1 SpA;N/A;Mineral;N/A;45;N/A;
138;Omanyte;35;40;100;90;55;35;355.0;Rock;Water;Swift Swim;Shell Armor;Weak Armor;1 Def;M (87.5%);Water 1;Water 3;45;N/A;
139;Omastar;70;60;125;115;70;55;495.0;Rock;Water;Swift Swim;Shell Armor;Weak Armor;2 Def;M (87.5%);Water 1;Water 3;45;Lv. 40;
140;Kabuto;30;80;90;55;45;55;355.0;Rock;Water;Swift Swim;Battle Armor;Weak Armor;1 Def;M (87.5%);Water 1;Water 3;45;N/A;
141;Kabutops;60;115;105;65;70;80;495.0;Rock;Water;Swift Swim;Battle Armor;Weak Armor;2 Atk;M (87.5%);Water 1;Water 3;45;Lv. 40;
142;Aerodactyl;80;105;65;60;75;130;515.0;Rock;Flying;Rock Head;Pressure;Unnerve;2 Spe;M (87.5%);Flying;N/A;45;N;
142;Mega Aerodactyl;80;135;85;70;95;150;615.0;Rock;Flying;Tough Claws;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
143;Snorlax;160;110;65;65;110;30;540.0;Normal;N/A;Immunity;Thick Fat;Gluttony;2 HP;M (87.5%);Monster;N/A;25;Friendship;
144;Articuno;90;85;100;95;125;85;580.0;Ice;Flying;Pressure;N/A;Snow Cloak;3 SpD;N/A;-;N/A;3;N;
144;Articuno-Galarian;90;85;85;125;100;95;580.0;Psychic;Flying;Competitive;N/A;N/A;3 SpA;N/A;N;N/A;N/A;N;
145;Zapdos;90;90;85;125;90;100;580.0;Electric;Flying;Pressure;N/A;Static;3 SpA;N/A;-;N/A;3;N;
145;Zapdos-Galarian;90;125;90;85;90;100;580.0;Fighting;Flying;Defiant;N/A;N/A;3 Atk;N/A;N;N/A;N/A;N;
146;Moltres;90;100;90;125;85;90;580.0;Fire;Flying;Pressure;N/A;Flame Body;3 SpA;N/A;-;N/A;3;N;
146;Moltres-Galarian;90;85;90;100;125;90;580.0;Dark;Flying;Berserk;N/A;N/A;3 SpD;N/A;N;N/A;N/A;N;
147;Dratini;41;64;45;50;50;50;300.0;Dragon;N/A;Shed Skin;N/A;Marvel Scale;1 Atk;Neutral;Water 1;Dragon;45;N/A;
148;Dragonair;61;84;65;70;70;70;420.0;Dragon;N/A;Shed Skin;N/A;Marvel Scale;2 Atk;Neutral;Water 1;Dragon;45;Lv. 30;
149;Dragonite;91;134;95;100;100;80;600.0;Dragon;Flying;Inner Focus;N/A;Multiscale;3 Atk;Neutral;Water 1;Dragon;45;Lv. 55;
149;Mega-Dragonite;91;124;115;145;125;100;700.0;Dragon;Flying;Multiscale;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
150;Mega Mewtwo X;106;190;100;154;100;130;780.0;Psychic;Fighting;Steadfast;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
150;Mega Mewtwo Y;106;150;70;194;120;140;780.0;Psychic;N/A;Insomnia;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
150;Mewtwo;106;110;90;154;90;130;680.0;Psychic;N/A;Pressure;N/A;Unnerve;3 SpA;N/A;-;N/A;3;N;
151;Mew;100;100;100;100;100;100;600.0;Psychic;N/A;Synchronize;N/A;N/A;3 HP;N/A;-;N/A;45;N;
152;Chikorita;45;49;65;49;65;45;318.0;Grass;N/A;Overgrow;N/A;Leaf Guard;1 SpD;M (87.5%);Monster;Grass;45;N/A;
153;Bayleef;60;62;80;63;80;60;405.0;Grass;N/A;Overgrow;N/A;Leaf Guard;1 Def/1 SpD;M (87.5%);Monster;Grass;45;Lv. 16;
154;Mega-Meganium;80;92;115;143;115;80;625.0;Grass;Fairy;Mega-Sol;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
154;Meganium;80;82;100;83;100;80;525.0;Grass;N/A;Overgrow;N/A;Leaf Guard;1 Def/2 SpD;M (87.5%);Monster;Grass;45;Lv. 32;
155;Cyndaquil;39;52;43;60;50;65;309.0;Fire;N/A;Blaze;N/A;Flash Fire;1 Spe;M (87.5%);Field;N/A;45;N/A;
156;Quilava;58;64;58;80;65;80;405.0;Fire;N/A;Blaze;N/A;Flash Fire;1 SpA/1 Spe;M (87.5%);Field;N/A;45;Lv. 14;
157;Typhlosion;78;84;78;109;85;100;534.0;Fire;N/A;Blaze;N/A;Flash Fire;3 SpA;M (87.5%);Field;N/A;45;Lv. 36;
157;Typhlosion-Hisuian;73;84;78;119;85;95;534.0;Ghost;Fire;Blaze;N/A;Flash Fire;3 SpA;M (87.5%);N/A;N/A;N/A;Level 36 (Hisui Only);
158;Totodile;50;65;64;44;48;43;314.0;Water;N/A;Torrent;N/A;Sheer Force;1 Atk;M (87.5%);Monster;Water 1;45;N/A;
159;Croconaw;65;80;80;59;63;58;405.0;Water;N/A;Torrent;N/A;Sheer Force;1 Atk/1 Def;M (87.5%);Monster;Water 1;45;Lv. 18;
160;Feraligatr;85;105;100;79;83;78;530.0;Water;N/A;Torrent;N/A;Sheer Force;2 Atk/1 Def;M (87.5%);Monster;Water 1;45;Lv. 30;
160;Mega-Feraligatr;85;160;125;89;93;78;630.0;Water;Dragon;Dragonize;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
161;Sentret;35;46;34;35;45;20;215.0;Normal;N/A;Run Away;Keen Eye;Frisk;1 Atk;Neutral;Field;N/A;255;N/A;
162;Furret;85;76;64;45;55;90;415.0;Normal;N/A;Run Away;Keen Eye;Frisk;2 Spe;Neutral;Field;N/A;90;Lv. 15;
163;Hoothoot;60;30;30;36;56;50;262.0;Normal;Flying;Insomnia;Keen Eye;Tinted Lens;1 HP;Neutral;Flying;N/A;255;N/A;
164;Noctowl;100;50;50;86;96;70;452.0;Normal;Flying;Insomnia;Keen Eye;Tinted Lens;2 HP;Neutral;Flying;N/A;90;Lv. 20;
165;Ledyba;40;20;30;40;80;55;265.0;Bug;Flying;Swarm;Early Bird;Rattled;1 SpD;Neutral;Bug;N/A;255;N/A;
166;Ledian;55;35;50;55;110;85;390.0;Bug;Flying;Swarm;Early Bird;Iron Fist;2 SpD;Neutral;Bug;N/A;90;Lv. 18;
167;Spinarak;40;60;40;40;40;30;250.0;Bug;Poison;Swarm;Insomnia;Sniper;1 Atk;Neutral;Bug;N/A;255;N/A;
168;Ariados;70;90;70;60;70;40;400.0;Bug;Poison;Swarm;Insomnia;Sniper;2 Atk;Neutral;Bug;N/A;90;Lv. 22;
169;Crobat;85;90;80;70;80;130;535.0;Poison;Flying;Inner Focus;N/A;Infiltrator;3 Spe;Neutral;Flying;N/A;90;Friendship;
170;Chinchou;75;38;38;56;56;67;330.0;Water;Electric;Volt Absorb;Illuminate;Water Absorb;1 HP;Neutral;Water 2;N/A;190;N/A;
171;Lanturn;125;58;58;76;76;67;460.0;Water;Electric;Volt Absorb;Illuminate;Water Absorb;2 HP;Neutral;Water 2;N/A;75;Lv. 27;
172;Pichu;20;40;15;35;35;60;205.0;Electric;N/A;Static;N/A;Lightningrod;1 Spe;Neutral;-;N/A;190;N/A;
173;Cleffa;50;25;28;45;55;15;218.0;Fairy;N/A;Cute Charm;Magic Guard;Friend Guard;2 SpD;F (75%);-;N/A;150;N/A;
174;Igglybuff;90;30;15;40;20;15;210.0;Normal;Fairy;Cute Charm;N/A;Friend Guard;1 HP;F (75%);-;N/A;170;N/A;
175;Togepi;35;20;65;40;65;20;245.0;Fairy;N/A;Hustle;Serene Grace;Super Luck;1 SpD;M (87.5%);-;N/A;190;N/A;
176;Togetic;55;40;85;80;105;40;405.0;Fairy;Flying;Hustle;Serene Grace;Super Luck;2 SpD;M (87.5%);Flying;Fairy;75;Friendship;
177;Natu;40;50;45;70;45;70;320.0;Psychic;Flying;Synchronize;Early Bird;Magic Bounce;1 SpA;Neutral;Flying;N/A;190;N/A;
178;Xatu;65;75;70;95;70;95;470.0;Psychic;Flying;Synchronize;Early Bird;Magic Bounce;1 SpA/1 Spe;Neutral;Flying;N/A;75;Lv. 25;
179;Mareep;55;40;40;65;45;35;280.0;Electric;N/A;Static;N/A;Plus;1 SpA;Neutral;Monster;Field;235;N/A;
180;Flaaffy;70;55;55;80;60;45;365.0;Electric;N/A;Static;N/A;Plus;2 SpA;Neutral;Monster;Field;120;Lv. 15;
181;Ampharos;90;75;85;115;90;55;510.0;Electric;N/A;Static;N/A;Plus;3 SpA;Neutral;Monster;Field;45;Lv. 30;
181;Mega Ampharos;90;95;105;165;110;45;610.0;Electric;Dragon;Mold Breaker;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
182;Bellossom;75;80;95;90;100;50;490.0;Grass;N/A;Chlorophyll;N/A;Healer;3 SpD;Neutral;Grass;N/A;45;Sun Stone;
183;Marill;70;20;50;20;50;40;250.0;Water;Fairy;Thick Fat;Huge Power;Sap Sipper;2 HP;Neutral;Water 1;Fairy;190;Friendship;
184;Azumarill;100;50;80;60;80;50;420.0;Water;Fairy;Thick Fat;Huge Power;Sap Sipper;3 HP;Neutral;Water 1;Fairy;75;Lv. 18;
185;Sudowoodo;70;100;115;30;65;30;410.0;Rock;N/A;Sturdy;Rock Head;Rattled;2 Def;Neutral;Mineral;N/A;65;Level w/ Mimic;
186;Politoed;90;75;75;90;100;70;500.0;Water;N/A;Water Absorb;Damp;Drizzle;3 SpD;Neutral;Water 1;N/A;45;Trade h/ Kings Rock;
187;Hoppip;35;35;40;35;55;50;250.0;Grass;Flying;Chlorophyll;Leaf Guard;Infiltrator;1 SpD;Neutral;Fairy;Grass;255;N/A;
188;Skiploom;55;45;50;45;65;80;340.0;Grass;Flying;Chlorophyll;Leaf Guard;Infiltrator;2 Spe;Neutral;Fairy;Grass;120;Lv. 18;
189;Jumpluff;75;55;70;55;95;110;460.0;Grass;Flying;Chlorophyll;Leaf Guard;Infiltrator;3 Spe;Neutral;Fairy;Grass;45;Lv. 27;
190;Aipom;55;70;55;40;55;85;360.0;Normal;N/A;Run Away;Pickup;Skill Link;1 Spe;Neutral;Field;N/A;45;N/A;
191;Sunkern;30;30;30;30;30;30;180.0;Grass;N/A;Chlorophyll;Solar Power;Early Bird;1 SpA;Neutral;Grass;N/A;235;N/A;
192;Sunflora;75;75;55;105;85;30;425.0;Grass;N/A;Chlorophyll;Solar Power;Early Bird;2 SpA;Neutral;Grass;N/A;120;Sun Stone;
193;Yanma;65;65;45;75;45;95;390.0;Bug;Flying;Speed Boost;Compoundeyes;Frisk;2 Spe;Neutral;Bug;N/A;75;N/A;
194;Wooper;55;45;45;25;25;15;210.0;Water;Ground;Damp;Water Absorb;Unaware;1 HP;Neutral;Water 1;Field;255;N/A;
194;Wooper-Paldean;55;45;45;25;25;15;N/A;Poison;Ground;Poison Point;Water Absorb;Unaware;1 HP;Neutral;N/A;N/A;N/A;N/A;
195;Quagsire;95;85;85;65;65;35;430.0;Water;Ground;Damp;Water Absorb;Unaware;2 HP;Neutral;Water 1;Field;90;Lv. 20;
196;Espeon;65;65;60;130;95;110;525.0;Psychic;N/A;Synchronize;N/A;Magic Bounce;2 SpA;M (87.5%);Field;N/A;45;Morn/Day Friendship;
197;Umbreon;95;65;110;60;130;65;525.0;Dark;N/A;Synchronize;N/A;Inner Focus;2 SpD;M (87.5%);Field;N/A;45;Nite Friendship;
198;Murkrow;60;85;42;85;42;91;405.0;Dark;Flying;Insomnia;Super Luck;Prankster;1 Spe;Neutral;Flying;N/A;30;N/A;
199;Slowking;95;75;80;100;110;30;490.0;Water;Psychic;Oblivious;Own Tempo;Regenerator;3 SpD;Neutral;Monster;Water 1;70;Trade h/ Kings Rock;
199;Slowking-Galarian;95;65;80;110;110;30;490.0;Poison;Psychic;Curious Medicine;Own Tempo;Regenerator;2 SpD;Neutral;N/A;N/A;N/A;Galarian Wreath;
200;Misdreavus;60;60;60;85;85;85;435.0;Ghost;N/A;Levitate;N/A;N/A;1 SpD;Neutral;Amorphous;N/A;45;N/A;
201;Unown;48;72;48;72;48;48;336.0;Psychic;N/A;Levitate;N/A;N/A;1 Atk/1 SpA;N/A;-;N/A;225;N;
202;Wobbuffet;190;33;58;33;58;33;405.0;Psychic;N/A;Shadow Tag;N/A;Telepathy;2 HP;Neutral;Amorphous;N/A;45;Lv. 15;
203;Girafarig;70;80;65;90;65;85;455.0;Normal;Psychic;Inner Focus;Early Bird;Sap Sipper;2 SpA;Neutral;Field;N/A;60;N;
204;Pineco;50;65;90;35;35;15;290.0;Bug;N/A;Sturdy;N/A;Overcoat;1 Def;Neutral;Bug;N/A;190;N/A;
205;Forretress;75;90;140;60;60;40;465.0;Bug;Steel;Sturdy;N/A;Overcoat;2 Def;Neutral;Bug;N/A;75;Lv. 31;
206;Dunsparce;100;70;70;65;65;45;415.0;Normal;N/A;Serene Grace;Run Away;Rattled;1 HP;Neutral;Field;N/A;190;N;
207;Gligar;65;75;105;35;65;85;430.0;Ground;Flying;Hyper Cutter;Sand Veil;Immunity;1 Def;Neutral;Bug;N/A;60;N/A;
208;Mega Steelix;75;125;230;55;95;30;610.0;Steel;Ground;Sand Force;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
208;Steelix;75;85;200;55;65;30;510.0;Steel;Ground;Rock Head;Sturdy;Sheer Force;2 Def;Neutral;Mineral;N/A;25;Trade h/ Metal Coat;
209;Snubbull;60;80;50;40;40;30;300.0;Fairy;N/A;Intimidate;Run Away;Rattled;1 Atk;F (75%);Field;Fairy;190;N/A;
210;Granbull;90;120;75;60;60;45;450.0;Fairy;N/A;Intimidate;Quick Feet;Rattled;2 Atk;F (75%);Field;Fairy;75;Lv. 23;
211;Qwilfish;65;95;85;55;55;85;440.0;Water;Poison;Poison Point;Swift Swim;Intimidate;1 Atk;Neutral;Water 2;N/A;45;N;
211;Qwilfish-Hisuian;65;95;85;55;55;85;440.0;Poison;Dark;Poison Point;Swift Swim;Intimidate;1 Atk;Neutral;N/A;N/A;N/A;N/A;
212;Mega Scizor;70;150;140;65;100;75;600.0;Bug;Steel;Technician;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
212;Scizor;70;130;100;55;80;65;500.0;Bug;Steel;Swarm;Technician;Light Metal;2 Atk;Neutral;Bug;N/A;25;Trade h/ Metal Coat;
213;Shuckle;20;10;230;10;230;5;505.0;Bug;Rock;Sturdy;Gluttony;Contrary;1 Def/1 SpD;Neutral;Bug;N/A;190;N;
214;Heracross;80;125;75;40;95;85;500.0;Bug;Fighting;Swarm;Guts;Moxie;2 Atk;Neutral;Bug;N/A;45;N;
214;Mega Heracross;80;185;115;40;105;75;600.0;Bug;Fighting;Skill Link;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
215;Sneasel;55;95;55;35;75;115;430.0;Dark;Ice;Inner Focus;Keen Eye;Pickpocket;1 Spe;Neutral;Field;N/A;60;N/A;
215;Sneasel-Hisuian;55;95;55;35;75;115;430.0;Poison;Fighting;Inner Focus;Keen Eye;Poison Touch;1 Spd;Neutral;N/A;N/A;N/A;N/A;
216;Teddiursa;60;80;50;50;50;40;330.0;Normal;N/A;Pickup;Quick Feet;Honey Gather;1 Atk;Neutral;Field;N/A;120;N/A;
217;Ursaring;90;130;75;75;75;55;500.0;Normal;N/A;Guts;Quick Feet;Unnerve;2 Atk;Neutral;Field;N/A;60;Lv. 30;
218;Slugma;40;40;40;70;40;20;250.0;Fire;N/A;Magma Armor;Flame Body;Weak Armor;1 SpA;Neutral;Amorphous;N/A;190;N/A;
219;Magcargo;60;50;120;90;80;30;430.0;Fire;Rock;Magma Armor;Flame Body;Weak Armor;2 Def;Neutral;Amorphous;N/A;75;Lv. 38;
220;Swinub;50;50;40;30;30;50;250.0;Ice;Ground;Oblivious;Snow Cloak;Thick Fat;1 Atk;Neutral;Field;N/A;225;N/A;
221;Piloswine;100;100;80;60;60;50;450.0;Ice;Ground;Oblivious;Snow Cloak;Thick Fat;1 HP/1 Atk;Neutral;Field;N/A;75;Lv. 33;
222;Corsola;65;55;95;65;95;35;410.0;Water;Rock;Hustle;Natural Cure;Regenerator;1 Def/1 SpD;F (75%);Water 1;Water 3;60;N;
223;Remoraid;35;65;35;65;35;65;300.0;Water;N/A;Hustle;Sniper;Moody;1 SpA;Neutral;Water 1;Water 2;190;N/A;
224;Octillery;75;105;75;105;75;45;480.0;Water;N/A;Suction Cups;Sniper;Moody;1 Atk/1 SpA;Neutral;Water 1;Water 2;75;Lv. 25;
225;Delibird;45;55;45;65;45;75;330.0;Ice;Flying;Vital Spirit;Hustle;Insomnia;1 Spe;Neutral;Water 1;Field;45;N;
226;Mantine;85;40;70;80;140;70;485.0;Water;Flying;Swift Swim;Water Absorb;Water Veil;2 SpD;Neutral;Water 1;N/A;25;Level t/ Remoraid;
227;Mega Skarmory;65;140;110;40;100;110;565.0;Steel;Flying;Stalwart;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
227;Skarmory;65;80;140;40;70;70;465.0;Steel;Flying;Keen Eye;Sturdy;Weak Armor;2 Def;Neutral;Flying;N/A;25;N;
228;Houndour;45;60;30;80;50;65;330.0;Dark;Fire;Early Bird;Flash Fire;Unnerve;1 SpA;Neutral;Field;N/A;120;N/A;
229;Houndoom;75;90;50;110;80;95;500.0;Dark;Fire;Early Bird;Flash Fire;Unnerve;2 SpA;Neutral;Field;N/A;45;Lv. 24;
229;Mega Houndoom;75;90;90;140;90;115;600.0;Dark;Fire;Solar Power;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
230;Kingdra;75;95;95;95;95;85;540.0;Water;Dragon;Swift Swim;Sniper;Damp;1 Atk/1 SpA/1 SpD;Neutral;Water 1;Dragon;45;Trade h/ Dragon Scale;
231;Phanpy;90;60;60;40;40;40;330.0;Ground;N/A;Pickup;N/A;Sand Veil;1 HP;Neutral;Field;N/A;120;N/A;
232;Donphan;90;120;120;60;60;50;500.0;Ground;N/A;Sturdy;N/A;Sand Veil;1 Atk/1 Def;Neutral;Field;N/A;60;Lv. 25;
233;Porygon2;85;80;90;105;95;60;515.0;Normal;N/A;Trace;Download;Analytic;2 SpA;N/A;Mineral;N/A;45;Trade w/ Up-Grade;
234;Stantler;73;95;62;85;65;85;465.0;Normal;N/A;Intimidate;Frisk;Sap Sipper;1 Atk;Neutral;Field;N/A;45;N;
235;Smeargle;55;20;35;20;45;75;250.0;Normal;N/A;Own Tempo;Technician;Moody;1 Spe;Neutral;Field;N/A;45;N;
236;Tyrogue;35;35;35;35;35;35;210.0;Fighting;N/A;Guts;Steadfast;Vital Spirit;1Atk;M (100%);-;N/A;75;N/A;
237;Hitmontop;50;95;95;35;110;70;455.0;Fighting;N/A;Intimidate;Technician;Steadfast;2 SpD;M (100%);Human-Like;N/A;45;Lv. 20 (Atk=Def);
238;Smoochum;45;30;15;85;65;65;305.0;Ice;Psychic;Oblivious;Forewarn;Hydration;1 SpA;F (100%);-;N/A;45;N/A;
239;Elekid;45;63;37;65;55;95;360.0;Electric;N/A;Static;N/A;Vital Spirit;1 Spe;M (75%);-;N/A;45;N/A;
240;Magby;45;75;37;70;55;83;365.0;Fire;N/A;Flame Body;N/A;Vital Spirit;1 Spe;M (75%);-;N/A;45;N/A;
241;Miltank;95;80;105;40;70;100;490.0;Normal;N/A;Thick Fat;Scrappy;Sap Sipper;2 Def;F (100%);Field;N/A;45;N;
242;Blissey;255;10;10;75;135;55;540.0;Normal;N/A;Natural Cure;Serene Grace;Healer;3 HP;F (100%);Fairy;N/A;30;Friendship;
243;Raikou;90;85;75;115;100;115;580.0;Electric;N/A;Pressure;N/A;Inner Focus;1 SpA/2 Spe;N/A;-;N/A;3;N;
244;Entei;115;115;85;90;75;100;580.0;Fire;N/A;Pressure;N/A;Inner Focus;1 HP/2 Atk;N/A;-;N/A;3;N;
245;Suicune;100;75;115;90;115;85;580.0;Water;N/A;Pressure;N/A;Inner Focus;1 Def/2 SpD;N/A;-;N/A;3;N;
246;Larvitar;50;64;50;45;50;41;300.0;Rock;Ground;Guts;N/A;Sand Veil;1 Atk;Neutral;Monster;N/A;45;N/A;
247;Pupitar;70;84;70;65;70;51;410.0;Rock;Ground;Shed Skin;N/A;N/A;2 Atk;Neutral;Monster;N/A;45;Lv. 30;
248;Mega Tyranitar;100;164;150;95;120;71;700.0;Rock;Dark;Sand Stream;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
248;Tyranitar;100;134;110;95;100;61;600.0;Rock;Dark;Sand Stream;N/A;Unnerve;3 Atk;Neutral;Monster;N/A;45;Lv. 55;
249;Lugia;106;90;130;90;154;110;680.0;Psychic;Flying;Pressure;N/A;Multiscale;3 SpD;N/A;-;N/A;3;N;
250;Ho-oh;106;130;90;110;154;90;680.0;Fire;Flying;Pressure;N/A;Regenerator;3 SpD;N/A;-;N/A;3;N;
251;Celebi;100;100;100;100;100;100;600.0;Psychic;Grass;Natural Cure;N/A;N/A;3 HP;N/A;-;N/A;45;N;
252;Treecko;40;45;35;65;55;70;310.0;Grass;N/A;Overgrow;N/A;Unburden;1 Spe;M (87.5%);Monster;Dragon;45;N/A;
253;Grovyle;50;65;45;85;65;95;405.0;Grass;N/A;Overgrow;N/A;Unburden;2 Spe;M (87.5%);Monster;Dragon;45;Lv. 16;
254;Mega Sceptile;70;110;75;145;85;145;630.0;Grass;Dragon;Lightning Rod;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
254;Sceptile;70;85;65;105;85;120;530.0;Grass;N/A;Overgrow;N/A;Unburden;3 Spe;M (87.5%);Monster;Dragon;45;Lv. 36;
255;Torchic;45;60;40;70;50;45;310.0;Fire;N/A;Blaze;N/A;Speed Boost;1 SpA;M (87.5%);Field;N/A;45;N/A;
256;Combusken;60;85;60;85;60;55;405.0;Fire;Fighting;Blaze;N/A;Speed Boost;1 Atk/1 SpA;M (87.5%);Field;N/A;45;Lv. 16;
257;Blaziken;80;120;70;110;70;80;530.0;Fire;Fighting;Blaze;N/A;Speed Boost;3 Atk;M (87.5%);Field;N/A;45;Lv. 36;
257;Mega Blaziken;80;160;80;130;80;100;630.0;Fire;Fighting;Speed Boost;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
258;Mudkip;50;70;50;50;50;40;310.0;Water;N/A;Torrent;N/A;Damp;1 Atk;M (87.5%);Monster;Water 1;45;N/A;
259;Marshtomp;70;85;70;60;70;50;405.0;Water;Ground;Torrent;N/A;Damp;2 Atk;M (87.5%);Monster;Water 1;45;Lv. 16;
260;Mega Swampert;100;150;110;95;110;70;635.0;Water;Ground;Swift Swim;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
260;Swampert;100;110;90;85;90;60;535.0;Water;Ground;Torrent;N/A;Damp;3 Atk;M (87.5%);Monster;Water 1;45;Lv. 36;
261;Poochyena;35;55;35;30;30;35;220.0;Dark;N/A;Run Away;Quick Feet;Rattled;1 Atk;Neutral;Field;N/A;255;N/A;
262;Mightyena;70;90;70;60;60;70;420.0;Dark;N/A;Intimidate;Quick Feet;Moxie;2 Atk;Neutral;Field;N/A;127;Lv. 18;
263;Zigzagoon;38;30;41;30;41;60;240.0;Normal;N/A;Pickup;Gluttony;Quick Feet;1 Spe;Neutral;Field;N/A;255;N/A;
263;Zigzagoon-Galarian;38;30;41;30;41;60;240.0;Dark;Normal;Pickup;Gluttony;Quick Feet;1 Spd;Neutral;N/A;N/A;N/A;N/A;
264;Linoone;78;70;61;50;61;100;420.0;Normal;N/A;Pickup;Gluttony;Quick Feet;2 Spe;Neutral;Field;N/A;90;Lv. 20;
264;Linoone-Galarian;78;70;61;50;61;100;420.0;Dark;Normal;Pickup;Gluttony;Quick Feet;2 Spd;Neutral;N/A;N/A;N/A;Level 20;
265;Wurmple;45;45;35;20;30;20;195.0;Bug;N/A;Shield Dust;N/A;Run Away;1 HP;Neutral;Bug;N/A;255;N/A;
266;Silcoon;50;35;55;25;25;15;205.0;Bug;N/A;Shed Skin;N/A;N/A;2 Def;Neutral;Bug;N/A;120;Lv. 7;
267;Beautifly;60;70;50;100;50;65;395.0;Bug;Flying;Swarm;N/A;Rivalry;3 SpA;Neutral;Bug;N/A;45;Lv. 10;
268;Cascoon;50;35;55;25;25;15;205.0;Bug;N/A;Shed Skin;N/A;N/A;2 Def;Neutral;Bug;N/A;120;Lv. 7;
269;Dustox;60;50;70;50;90;65;385.0;Bug;Poison;Shield Dust;N/A;Compound Eyes;3 SpD;Neutral;Bug;N/A;45;Lv. 10;
270;Lotad;40;30;30;40;50;30;220.0;Water;Grass;Swift Swim;Rain Dish;Own Tempo;1 SpD;Neutral;Water 1;Grass;255;N/A;
271;Lombre;60;50;50;60;70;50;340.0;Water;Grass;Swift Swim;Rain Dish;Own Tempo;2 SpD;Neutral;Water 1;Grass;120;Lv. 14;
272;Ludicolo;80;70;70;90;100;70;480.0;Water;Grass;Swift Swim;Rain Dish;Own Tempo;3 SpD;Neutral;Water 1;Grass;45;Water Stone;
273;Seedot;40;40;50;30;30;30;220.0;Grass;N/A;Chlorophyll;Early Bird;Pickpocket;1 Def;Neutral;Field;Grass;255;N/A;
274;Nuzleaf;70;70;40;60;40;60;340.0;Grass;Dark;Chlorophyll;Early Bird;Pickpocket;2 Atk;Neutral;Field;Grass;120;Lv. 14;
275;Shiftry;90;100;60;90;60;80;480.0;Grass;Dark;Chlorophyll;Early Bird;Pickpocket;3 Atk;Neutral;Field;Grass;45;Leaf Stone;
